category,code,name,nutriscore,nova,eco,allergens_n,labels_n
breakfast cereals,3229820786605,Crousti' Avoine Chocolat,c,4,a,1,13
breakfast cereals,3168930003632,Quaker Oats,a,,a,1,10
breakfast cereals,3229820116716,Muesli aux fruits,a,3,a,2,13
breakfast cereals,3229820796857,Flocons d'avoine,a,1,a,2,11
breakfast cereals,7613287514325,Fitness Nature Céréales complètes,a,4,c,1,9
breakfast cereals,7613032779566,chocapic,b,4,b,1,11
breakfast cereals,3168930010890,Quaker Cruesli Chocolat au lait,d,4,c,4,6
breakfast cereals,5010477365316,Oh my crisp ! - Noix,b,4,c,1,3
breakfast cereals,3421557502446,T&C Muesli croustillant avoine amandes sans gluten,c,3,a,1,10
breakfast cereals,3229820794556,Muesli Protéines,a,3,a,3,15
breakfast cereals,3387390326574,Céréales Cookie Crisp,c,4,b,2,11
breakfast cereals,3229820797946,Muesli sans sucres ajoutés raisin figue datte abricot,a,3,a,1,9
breakfast cereals,8402001010873,Muesli Crunchy,a,4,c,2,2
breakfast cereals,5010477356277,Granola Amandes Noisettes & Graines,a,4,b,2,12
breakfast cereals,5010477354051,Muesli Bio Superfruits,a,3,a,3,15
breakfast cereals,3560071407650,Muesli de quinoa y chocolate,c,3,a,2,12
breakfast cereals,20621469,Special Flakes Original,a,3,c,4,12
breakfast cereals,5010477348555,Country Crisp 4 Noix,c,4,c,2,13
breakfast cereals,3560070614202,Copos de Avena Integral,a,1,a,2,6
breakfast cereals,3421557910203,Flocons d'avoine complets,a,1,a,2,9
breakfast cereals,5053827199568,Tresor - Choco Nut,e,4,d,4,5
breakfast cereals,3168930010869,,c,4,b,3,7
breakfast cereals,3770008009882,Les Fourrées  -  Beurre de Cacahuète & Cacao,b,3,b,2,21
breakfast cereals,3564706604360,Muesli Chocolat-Noisette,b,4,b,4,9
breakfast cereals,3387390019995,NESTLE LION Céréales 400g,c,4,c,1,11
breakfast cereals,8480000095367,"Muesli con quinoa, chía y chocolate negro",c,4,c,2,1
breakfast cereals,20283360,Fiocchi di avena integrali,a,1,a,1,2
breakfast cereals,5050083296079,Cereales special K original,c,3,c,1,8
breakfast cereals,3159470005071,Céréales Extra Pépites Chocolat Noisettes,e,4,d,4,15
breakfast cereals,3256228686558,Céréales Muesli croustillant au chocolat noir 500G,c,3,a,1,14
breakfast cereals,8480000156112,Avena crunchy,a,3,c,1,6
breakfast cereals,40897677,Hafer Flocken Zart,a,1,a-plus,1,14
breakfast cereals,4056489300786,Knusper Müsli Schoko,c,4,a-plus,3,18
cereal/snack bars,8410076601131,Crunchy avoine et miel,d,4,unknown,2,7
cereal/snack bars,8410076601148,Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,d,4,d,2,8
cereal/snack bars,8410076801180,Crunchy oats&honey,d,4,unknown,0,0
cereal/snack bars,8410076610621,"Sweet & Salty Nut chocolat noir et mélange de noix, 5 barres",c,4,e,5,6
cereal/snack bars,5060088700112,Protein Bars Cocoa Hazelnut,not-applicable,4,c,4,11
cereal/snack bars,8410076610744,Protein Caramel salé Cacahuètes,d,4,unknown,4,9
cereal/snack bars,8000500435731,Eat natural Protéines,d,4,d,3,10
cereal/snack bars,8410076801197,Crunchy Oats & Dark Chocolate,d,4,unknown,1,5
cereal/snack bars,4008400260921,Kinder Country,e,4,e,3,4
cereal/snack bars,3392460511200,"LU - Grany Chocolate 5 Cereals Bar x6, 125g (4.5oz)",e,4,d,3,6
cereal/snack bars,3560071269494,Barre Céréales CHOCOLAT,d,4,c,3,11
cereal/snack bars,8410076611277,Barres protéinées aux chocolat et cranberries sans gluten,not-applicable,4,unknown,3,8
cereal/snack bars,8402001012174,Barritas de Espelta Sabor Manzana 0%,a,4,unknown,2,5
cereal/snack bars,3392460481671,Grany Noisettes 5 céréales,d,4,e,2,4
cereal/snack bars,8000500435557,Barres chocolat noir amandes cranberries & noix de coco,c,3,unknown,2,2
cereal/snack bars,8410076600448,Nature valley crunchy oats and berries,d,4,c,2,7
cereal/snack bars,3387390320008,FITNESS CHOC Barres Céréale 6x23.5g,c,4,c,3,12
cereal/snack bars,8410076610614,Sweet & saltynut,d,4,d,4,3
cereal/snack bars,8410076600837,Crunchy Oats & Honey,d,4,a,1,7
cereal/snack bars,5053827189927,Special K High Protein,not-applicable,4,unknown,5,7
cereal/snack bars,8480000093509,Barritas de trigo y arroz integral con chocolate con leche,d,4,unknown,3,0
cereal/snack bars,5410041161700,"Grany moelleux, fruit des bois",e,4,d,2,3
cereal/snack bars,3175681302723,Gerblé matin noisette cacao,a,4,c,2,4
cereal/snack bars,8410076600790,Nature Valley Crunchy Oats & Honey,d,4,unknown,0,0
cereal/snack bars,5060088707661,raw fruit & nut bar,not-applicable,4,unknown,1,17
cereal/snack bars,3560071269500,Barres céréales FRAISE,c,4,b,4,10
cereal/snack bars,3175681302716,,b,4,unknown,2,4
cereal/snack bars,3017760502399,Grany Fraise 🍓 & Framboise,c,4,c,1,2
cereal/snack bars,3609200011549,Barre Cacahuètes Caramel Chocolat,not-applicable,4,unknown,4,1
cereal/snack bars,8410076901019,Sweet & Salty Nut - Chocolat noir et mélange de noix,d,4,d,5,0
cereal/snack bars,5060482840179,Apple & raisin oat bars,e,3,c,1,5
cereal/snack bars,8410076600479,Crunchy Oats & Dark Chocolate,d,4,unknown,1,2
cereal/snack bars,3560071403096,Barres Céréales Graines et Amandes,c,4,c,3,12
cereal/snack bars,5050083425691,Barres de Céréales Special K Chocolat au Lait,b,4,d,5,11
cereal/snack bars,8480000093493,Barritas Muesli Chocolate,d,4,e,3,1
cereal/snack bars,3250392489502,Barres de céréales à la figue x6,c,4,b,2,3
cereal/snack bars,0016000264694,Oats 'N Honey Granola Bars,d,4,c,2,0
cereal/snack bars,4056489627173,Barres de céréales fraises et framboises x 6,c,4,c,1,7
cereal/snack bars,5060088706046,Nakd cacahuètes,not-applicable,,d,1,6
cereal/snack bars,8000500435618,"Eat Natural Vegan - Erdnüsse, Kokos & dunkle Schokolade",e,3,c,1,5
cereal/snack bars,5900617015723,Crunchy Cranberry & Raspberry - Santé,e,4,unknown,2,0
cereal/snack bars,8410076601513,Crunchy avena y chocolate negro,d,4,unknown,2,1
cereal/snack bars,5060088705827,TREK PROTEIN AVOINE - Cacao - 150g (3x1p),d,4,unknown,2,3
cereal/snack bars,3564707104302,Barres céréales Chocolat,d,4,c,1,11
cereal/snack bars,5900617015945,Crunchy Nut & Almond,d,4,d,3,0
cereal/snack bars,5055958705427,Lemon Blueberry Oat Boosts,c,4,unknown,2,13
cereal/snack bars,5060482840766,Peanut Butter Oat Bars,e,3,unknown,2,5
cereal/snack bars,3350033964181,Barres au son d'avoine,a,4,d,5,3
cereal/snack bars,8719979202521,Barre granola goût chocolat et enrobage crème de cacao,d,4,d,2,5
cereal/snack bars,3564707104296,Barres céréales Fraise,c,4,b,1,10
cereal/snack bars,3596710494118,Flocons d'Avoine,a,3,a,1,11
cereal/snack bars,8410076801203,Crunchy Canadian Maple Syrup,not-applicable,4,unknown,0,0
cereal/snack bars,5053827157018,Barres Extra Kellogg's Choco Amandes - 4x32g,e,4,unknown,5,3
cereal/snack bars,3560071177294,Pomme,c,4,b,4,6
cereal/snack bars,5055958701054,Cocoa Vanilla Oat Boosts,not-applicable,4,unknown,2,0
cereal/snack bars,5060367181977,Original Peanut Butter Stuffed Oat Bars,c,3,b,3,8
cereal/snack bars,8000500435700,PROTEINES,d,4,d,8,1
cereal/snack bars,3159470204412,Special K Chocolat Noir Pure Chocolate,d,4,e,3,9
cereal/snack bars,5060482840209,Apple & Raisin Oat Bar,e,3,d,0,6
cereal/snack bars,5900020043832,NESTLE FITNESS Cocoa Protein Bar Multipack (,a,4,unknown,3,5
